time (s),time delta (s),carrier freq (Mhz)
69.316,0.15,904.5
69.466,0.15,906.5
69.616,0.15,918.5
69.766,0.15,915.0
69.916,0.15,912.0
70.066,0.15,908.5
70.216,0.15,906.0
70.366,0.15,924.0
70.516,0.15,905.0
70.666,0.15,915.5
70.816,0.15,927.0
70.966,0.15,911.0
71.116,0.15,914.5
71.266,0.15,907.0
71.416,0.15,924.5
71.566,0.15,910.0
71.716,0.15,910.5
71.866,0.15,912.5
72.017,0.151,917.0
72.167,0.15,920.5
72.317,0.15,907.5
72.467,0.15,916.0
72.617,0.15,917.5
72.767,0.15,923.0
72.917,0.15,916.5
73.067,0.15,905.5
73.217,0.15,925.5
73.367,0.15,926.5
73.517,0.15,920.0
73.667,0.15,918.0
73.817,0.15,919.5
73.967,0.15,922.5
74.106,0.139,915.0
74.473,0.367,909.5
74.567,0.094,903.5
74.717,0.15,911.5
74.867,0.15,925.0
75.018,0.151,909.0
75.168,0.15,921.5
75.318,0.15,919.0
75.468,0.15,904.0
75.618,0.15,914.0
75.768,0.15,922.0
75.918,0.15,926.0
76.068,0.15,921.0
76.218,0.15,913.0
76.368,0.15,903.0
76.518,0.15,908.0
76.668,0.15,913.5
76.818,0.15,904.5
76.968,0.15,906.5
77.118,0.15,918.5
77.268,0.15,915.0
77.418,0.15,912.0
77.568,0.15,908.5
77.718,0.15,906.0
77.868,0.15,924.0
78.019,0.151,905.0
78.169,0.15,915.5
78.319,0.15,927.0
78.469,0.15,911.0
78.619,0.15,914.5
78.769,0.15,907.0
78.919,0.15,924.5
79.069,0.15,910.0
79.219,0.15,910.5
79.369,0.15,912.5
79.519,0.15,917.0
79.669,0.15,920.5
79.819,0.15,907.5
79.969,0.15,916.0
80.119,0.15,917.5
80.269,0.15,923.0
80.419,0.15,916.5
80.569,0.15,905.5
80.719,0.15,925.5
80.869,0.15,926.5
81.02,0.151,920.0
81.169,0.149,918.0
81.32,0.151,919.5
81.47,0.15,922.5
81.62,0.15,902.5
81.77,0.15,923.5
81.92,0.15,909.5
82.07,0.15,903.5
82.22,0.15,911.5
82.37,0.15,925.0
82.52,0.15,909.0
82.67,0.15,921.5
82.82,0.15,919.0
82.97,0.15,904.0
83.12,0.15,914.0
83.27,0.15,922.0
